,log2FoldChange,logCPM,LR,PValue,padj,regulated
AATK,1.94790907836892,5.13497981985271,14.2248002539195,0.000162218463653,0.032078981012779,up
ADORA1,2.05413822538333,2.78297918593056,12.9450341210203,0.000320771251828,0.044295133337903,up
ANKRD36C,2.47045504619099,4.85140229846112,21.8900565639137,2.88726131114992E-06,0.003607289286697,up
ANO8,1.22045651881277,5.28921278430144,19.3524343822863,1.08680607828988E-05,0.008147008878883,up
APOBEC2,2.70580704755533,-0.704244122529838,18.6030835777404,1.60959984140745E-05,0.009416064381099,up
ARHGAP20,2.08672433361327,2.7295090179489,14.7606523491783,0.00012205600856,0.028767414015047,up
ARHGAP40,3.08885502600678,3.6701870327142,23.3878382299224,1.32413046527479E-06,0.001930067278745,up
ATP11A,1.90355002083584,7.86091683299077,16.9045159276224,3.93079546495105E-05,0.015866504709834,up
BARX1,4.63658053504528,3.35718658288546,13.4642449960392,0.000243152990191,0.038664272749298,up
BEAN1,1.95636700041109,2.83339612940407,13.097431945941,0.000295700866421,0.041963944064138,up
BIVM.ERCC5,6.93738795465898,-2.34938376295288,31.1175680739243,2.42863349451122E-08,0.000106200094992,up
BNIP3P2,5.1480579526016,-3.40066287422963,15.0651344868966,0.000103864090901,0.026981011415499,up
C8B,2.86366584745116,0.318869915452465,14.6074843953621,0.00013238771131,0.029436071030902,up
CDH12P2,6.29746805545683,-2.63733790598627,18.423520218063,1.76861418675694E-05,0.010087637047379,up
CDH24,1.69883697591754,4.59193053011646,12.691344612763,0.000367352017292,0.049008919167935,up
CEACAM8,3.13449066345668,-1.72430847353851,13.2053934862159,0.000279144630385,0.041613168564818,up
CEMP1,6.37328528166965,-2.6564050716898,16.1454942049841,5.86579452380422E-05,0.018632512278993,up
CHIAP2,4.28974253141856,0.452615217808411,13.3661326294442,0.000256209134731,0.040012851594885,up
CHML,1.58235695508256,5.17748813847402,12.6191984881368,0.000381805008811,0.049591178297926,up
CPA6,2.47546861626522,-0.536809613048861,12.6350583040974,0.000378579404,0.049591178297926,up
CPB2.AS1,3.03770250284062,-0.422501447089994,13.4678062499382,0.000242691903017,0.038664272749298,up
ERFE,3.11445871384344,2.18571146609715,17.6583249024441,2.64355661079432E-05,0.0121682447013,up
FAXC,2.50348309056637,3.6659037144321,24.0998087645514,9.14693800854741E-07,0.001635400459919,up
FGF8,3.95239656397475,-2.6122729861498,14.5069770336472,0.000139641396351,0.030030912426649,up
FSD2,2.97115352654707,-1.93151067052509,17.6677189832609,2.63053226793796E-05,0.0121682447013,up
GJA1,1.99573111445182,7.37988116498802,21.6465833296014,3.27793367409069E-06,0.003851382308954,up
GNG4,5.3681349481392,3.36086816654741,31.2758178982544,2.23850635600561E-08,0.000106200094992,up
GRK1,3.57630965441607,-1.61617002586182,15.265782191864,9.33931053101456E-05,0.025793209516024,up
HAGLR,2.23899963090873,4.66252242145641,16.3879172592054,5.16131976402613E-05,0.018299668466048,up
HORMAD2,4.48948777939165,-3.47759614440477,14.7066717116506,0.000125601152051,0.029162261047587,up
HS6ST2,2.45596656764867,4.55129956757788,14.2024951139537,0.000164152704133,0.032140854465109,up
HTR3A,2.61851705112668,-0.035154519405044,13.1905441228832,0.000281365192901,0.041707223537557,up
IRX1,3.41454321351828,2.4072559938256,16.1362987614288,5.89434203284056E-05,0.018632512278993,up
KCNJ6,3.13892139370971,-0.641978429348889,13.4775029737725,0.000241440897506,0.038664272749298,up
KIF1A,3.4461203910808,2.08480709754812,15.3595290015976,8.88715707981616E-05,0.025072294656251,up
LCAL1,3.66408219501926,3.27362989530473,15.9558364892097,6.48375577991076E-05,0.02001344710559,up
LGR4,1.35917335605917,5.60792797323788,12.7608517240774,0.000353949688711,0.047623476834395,up
LINC00499,3.63674519172408,-2.80261112835106,13.1090088199298,0.000293879132669,0.041963944064138,up
LINC01730,2.66898927730293,-0.275740017179605,14.8524797433792,0.000116255126872,0.02853529254908,up
LINC02048,4.81467978739204,-1.11376406797885,14.2202169056653,0.000162614036464,0.032078981012779,up
LINC02470,3.56139623963394,-2.41676436500235,18.6251898550927,1.59104324734273E-05,0.009416064381099,up
LINC02897,2.32744127443134,-0.289851344864499,16.4667127046027,4.95117741489101E-05,0.018042228032569,up
LMX1B,2.70310110240848,-0.08299124702709,13.9687748244186,0.000185872083172,0.034760266867181,up
LNCDAT,4.85835476142685,-1.61198017872253,18.2149111101135,1.97327884658723E-05,0.010565901448553,up
LOC101927531,4.46608170312365,-0.399889533858882,19.1512828322875,1.20756317493043E-05,0.008337588163329,up
LOC101929777,1.87121869529716,2.51154899656781,14.4519644050858,0.000143779818403,0.03038463117546,up
LOC102724788,3.38788828484552,6.32186475104241,28.7041079028282,8.43246706322694E-08,0.000276553297922,up
LSINCT5,3.10671763753079,-2.70213134793599,15.1754457257989,9.79690945765303E-05,0.026274120047408,up
MACC1,2.38328736802617,5.81911269070151,19.2385424243314,1.15360637661206E-05,0.008180316352208,up
MEX3A,1.95262552760528,4.00180553008163,14.635751669472,0.000130416848362,0.029245699576782,up
MYBPH,3.13760116549217,-0.548174235054691,22.1954756603521,2.46253403284066E-06,0.003400500285244,up
NEURL1B,1.73695019892885,5.64030833567109,16.4057215427089,5.11306587823948E-05,0.018299668466048,up
NGB,5.34194246429034,-1.44330797379211,17.2132138530665,3.34104369486415E-05,0.014261354602622,up
NT5DC4,3.31464844156574,-1.08288891331877,16.6617085518719,4.46737050448614E-05,0.0167443428466,up
OPN3,1.58235695508256,5.17748813847402,12.6191984881368,0.000381805008811,0.049591178297926,up
OPN3.2,1.58235695508256,5.17748813847402,12.6191984881368,0.000381805008811,0.049591178297926,up
OVCH1,3.7773334959336,-0.52881854269367,16.2407094625326,5.57824625954329E-05,0.018632512278993,up
PAEP,4.70450059765903,4.24077118445547,14.6900979606383,0.000126710285453,0.029162261047587,up
PCDH20,2.56529780998119,3.03023134073977,16.6043377059742,4.60455893388156E-05,0.017015466584261,up
PCDHA1,3.11430732749053,-2.04607841621527,15.2257262814194,9.53949807505862E-05,0.026071646978678,up
PCDHA14,2.72279663951574,-1.95938384169087,13.600120285486,0.00022617103357,0.037321065457785,up
PCDHA2,2.71972197412836,-0.485827251764813,13.7723128877811,0.000206355099231,0.036309931135831,up
PCDHA4,2.82492133840285,1.05116912410505,20.1294324858296,7.23743233422152E-06,0.006125435875902,up
PCDHA5,2.9596787021599,-0.251824871265871,20.5659311933793,5.7612326982748E-06,0.005598424529801,up
PCDHA9,2.88366486044191,-1.29121138374821,12.7927658947557,0.000347962277812,0.047293450869537,up
PCDHB13,1.99204444580299,2.14574424997204,13.8609610957314,0.000196845208959,0.035374162653838,up
PCDHB2,1.9748561762523,2.89047565758146,15.3250384113215,9.05089047336458E-05,0.025262575888262,up
PPFIA4,1.7787202662541,3.58919683319094,13.0478729541808,0.000303629042103,0.042464245480027,up
PPIAP39,3.01567355819637,-2.45703188798494,13.5351461123417,0.0002341371544,0.038155630559034,up
PRODH,3.22136551951657,6.14652515008969,23.933313816949,9.97309424046515E-07,0.001635400459919,up
PRR36,1.98427434473845,3.89217696123223,15.5567185976091,8.00666065827414E-05,0.023341195076793,up
RAB40AL,3.99161821878342,-2.45896752950665,17.7498618102787,2.51935793025368E-05,0.0121682447013,up
RAD17P1,3.32596386152987,0.177594122026848,14.7491667758323,0.000122801782585,0.028767414015047,up
RAP1GAP,1.73067779581456,6.12285331706456,13.3977221622375,0.000251930052957,0.03958017245165,up
RGS17,2.37736044547629,3.06030322123774,18.3712240684981,1.8178268772001E-05,0.010147728463213,up
SAG,3.78522391974902,-2.92823413010498,12.5947209075414,0.000386837813181,0.04975227306097,up
SBK1,2.34729001368152,4.17757650288192,17.1846094291869,3.3917311803834E-05,0.014261354602622,up
SLC12A2,1.73664663179847,5.68322230460287,16.2681318140532,5.49809132265264E-05,0.018632512278993,up
SMOC1,3.36396047179354,4.03973707783928,19.5987417889549,9.55320901311027E-06,0.007371986614029,up
STK32A,2.13680501114992,3.74292614389652,13.0438892101537,0.000304275570768,0.042464245480027,up
TBC1D3,8.16617213745589,-1.59177599722142,24.0239208295852,9.51462558854126E-07,0.001635400459919,up
TBC1D3.2,8.16617213745589,-1.59177599722142,24.0239208295852,9.51462558854126E-07,0.001635400459919,up
TCAM1P,4.13082034632711,-1.34879830894201,14.836390706051,0.000117251062979,0.02853529254908,up
TEPP,2.33936749437327,0.082526626195652,14.5831218221783,0.000134110372832,0.029568519764589,up
TFPI2,2.76056329282061,4.92669247201377,16.1965815211407,5.7097058631697E-05,0.018632512278993,up
TMEM88B,2.55618550540966,2.01735481429352,22.0870829402989,2.6055713613611E-06,0.003418118790402,up
TNFSF15,1.89172301051877,3.82288231579923,17.8891267743418,2.34155101756902E-05,0.011814475778454,up
WNT3,1.87121869529716,2.51154899656781,14.4519644050858,0.000143779818403,0.03038463117546,up
XPR1,1.35086428607365,6.44128405410149,14.6563376994219,0.000129000152908,0.029245699576782,up
ZBTB18,1.50309799179704,4.99685998342914,15.3785440186353,8.79816702820546E-05,0.025072294656251,up
ZNF578,3.04992294363568,-0.058787085868028,18.9656348126998,1.33094133826554E-05,0.008729976973018,up
ACSBG1,-3.79631163681962,0.499954247936724,14.061071791378,0.000176968909824,0.033932319828018,down
ADGRF2,-4.51983297539207,-2.19087586891345,13.1756101763379,0.00028361636455,0.041804733464565,down
ADM,-2.53215671974194,5.96965263340425,14.4043012281379,0.000147465099363,0.030706681047444,down
ALOX15,-4.00590599773782,2.12732984055862,14.2233969329715,0.000162339476351,0.032078981012779,down
ATP7B,-2.39052288504225,3.48200622578582,16.7336198073659,4.30120004664281E-05,0.016355157336778,down
AVPR1A,-3.19814378066489,0.987313334983989,14.4421068677771,0.000144534312249,0.03038463117546,down
BFSP2,-4.41860552565501,-1.89350262451466,13.6932518865256,0.000215226458055,0.036431590838723,down
C11orf97,-6.21592146102899,-0.430596775225631,13.2705659455219,0.000269605802877,0.0413324327216,down
C1QTNF1,-2.20585123456048,5.32977218920517,14.9825144474074,0.000108512010247,0.027641064202424,down
CCDC33,-3.49654060376793,1.09622851292067,20.3179895237548,6.55810787027338E-06,0.005974286003668,down
CD7,-2.07580208183042,4.16174639713942,14.7561368918348,0.00012234865799,0.028767414015047,down
CDA,-3.52954985986152,2.83335775578513,16.1385749873063,5.887262440067E-05,0.018632512278993,down
CDC42EP5,-2.11959534380545,4.85301026588684,15.1367751888443,9.99962944207856E-05,0.026501038148668,down
CPA4,-4.34691783060801,-1.50479900610733,14.859518371394,0.00011582210663,0.02853529254908,down
CXCL6,-3.86026625346194,1.50466063889393,13.1209803251873,0.000292007198202,0.041963944064138,down
F2RL3,-2.54923396595421,3.31798971863204,14.3100870138231,0.000155031911504,0.031777908297966,down
FAM166B,-3.37930614328063,0.921128940466241,13.6413828888011,0.00022125441536,0.036985116273811,down
H1.2,-1.65470514426599,4.99469372332815,17.4093723758437,3.01336450302423E-05,0.013400278723025,down
H1.3,-2.9949539194503,-0.246715528292086,18.713516417081,1.5190191854063E-05,0.009416064381099,down
H2AC8,-3.25269440054192,0.530718048711824,14.6420148540006,0.000129984176759,0.029245699576782,down
H2BC5,-1.9153022957492,3.73854342130514,13.7411166379134,0.000209810731708,0.036309931135831,down
H2BC6,-5.3117117109949,-1.17964810597032,14.3863665374863,0.000148876296634,0.030756436179327,down
H2BC8,-3.75497980206966,1.37438291025908,18.0507499051385,2.15093904619143E-05,0.011286837550985,down
H3C4,-4.4567798191772,-1.47036383932568,18.9928062686653,1.31212209596241E-05,0.008729976973018,down
H4C5,-3.20877110099311,-1.11982226121866,16.2460395065921,5.5625751794903E-05,0.018632512278993,down
IGHA2,-4.32722669727832,8.16415745504261,17.1663886148023,3.42442100836676E-05,0.014261354602622,down
IGHM,-3.44293287499772,9.03540493541667,12.6200264940847,0.000381635923266,0.049591178297926,down
IGHV2.70,-6.42976112513483,3.16341397609864,18.2428632950538,1.94453154131902E-05,0.010565901448553,down
IGHV3.11,-3.85333678009887,4.75255300946349,12.6290728752556,0.000379793491961,0.049591178297926,down
IGHV3.30,-4.88643652306991,7.00779034996369,13.9025768275849,0.000192534323812,0.035080021207316,down
IGHV3.33,-5.47088755052006,6.34841620712611,15.9248071730296,6.59091801816557E-05,0.020107664656117,down
IGHV3.48,-4.36817900442133,4.30667412168891,13.1284299838984,0.00029084839831,0.041963944064138,down
IGHV3.7,-4.76128712658666,6.15804563821248,17.0793689170863,3.5849642294165E-05,0.014696672888625,down
IGHV3.73,-6.40312115565813,4.71524095645121,15.4184402931379,8.6143560477038E-05,0.024836797760836,down
IGHV4.59,-4.79358588376686,6.16211605915059,14.2934605106851,0.000156407304357,0.031811305770699,down
IGKV1.17,-4.82778762142719,4.65096679042357,16.02584288525,6.24837519533522E-05,0.019516502380954,down
IGKV1.27,-4.35289391148722,4.12941640340678,12.6847039154353,0.000368658962932,0.049008919167935,down
IGKV2.30,-4.60655855271854,5.18240433308244,13.8424551205202,0.000198793312229,0.035481225394282,down
IGKV2D.29,-5.37851788187965,2.24873393573423,13.640861848458,0.000221315823264,0.036985116273811,down
IGKV3.11,-4.86219286770478,7.26114088015015,13.9102370818241,0.000191751240104,0.035080021207316,down
IGKV3D.20,-4.49936935402781,2.38531886944785,13.7239252809016,0.000211739888851,0.036309931135831,down
IGKV4.1,-4.29418670613255,7.31468363708779,12.8685474700464,0.000334150866563,0.045901132387471,down
IGLV1.51,-5.0570117699037,5.9332411706364,14.7620748602455,0.000121963960823,0.028767414015047,down
IGLV2.8,-4.12616148347864,5.68757070051646,13.6254156569056,0.000223144076473,0.037054627432987,down
IGLV8.61,-4.90453013346805,3.23825748188183,13.0662516641803,0.000300664216952,0.042411435807404,down
ITK,-2.25585289680424,4.01184403466131,13.4698025682042,0.000242433818692,0.038664272749298,down
JCHAIN,-3.27287422837345,7.98634042574219,14.5216124880439,0.000138560758035,0.030030912426649,down
KCNJ10,-2.47173831504844,-0.093691859823855,13.2805759921718,0.000268170093674,0.0413324327216,down
LINC02384,-4.02940995529821,0.531037841945224,13.7261157366257,0.000211493093068,0.036309931135831,down
LOC101928371,-2.624242217886,-1.25095507521388,12.7834772412379,0.000349694304558,0.047293450869537,down
LOC105374727,-2.64542847923536,-0.898425844008805,12.6098265579448,0.00038372410946,0.049594923447792,down
LY6K,-3.39993429643019,3.770124501159,17.2297240266818,3.31213466398246E-05,0.014261354602622,down
MAP2K6,-2.2120507359423,3.02801252686228,13.2503059556537,0.00027253538365,0.0413324327216,down
MGAT4A,-1.5208211403021,5.29735917042647,13.1630746925749,0.000285519999087,0.041850213497519,down
MT1A,-3.3286563349866,0.997584537079953,16.2930733583208,5.42619388267291E-05,0.018632512278993,down
MUC4,-4.34402015129722,6.59257976548303,14.1601478156755,0.000167889092158,0.032628934155097,down
NPIPA8,-6.46937551626173,-0.72500746217111,15.1721805915552,9.81386501751725E-05,0.026274120047408,down
OR51E1,-3.46324585975212,-1.37693250096662,12.9857473332541,0.000313871037267,0.043571610607232,down
POU2AF1,-3.48926915131295,4.55253891166219,13.7482657613429,0.000209013703184,0.036309931135831,down
PRDM1,-1.92445671793385,5.46525250853399,14.833024546049,0.000117460517411,0.02853529254908,down
PSCA,-5.46284239931593,4.54536093768945,13.9460788297452,0.000188129660218,0.034760266867181,down
RASD2,-2.17294734974871,2.62059481721727,13.3441135666208,0.000259235068194,0.040245860853282,down
RGL4,-2.7822518871838,0.275416837918568,13.1373330894304,0.000289469592827,0.041963944064138,down
RPL13P12,-2.40432202540538,5.34028428806307,13.2157406360838,0.000277607776949,0.041613168564818,down
SERPINE1,-2.7864774896407,7.99956910817059,14.4391629562685,0.000144760410753,0.03038463117546,down
SPATS1,-5.12931809953744,-0.752128165974478,13.5504550845453,0.000232235107122,0.038082203159797,down
STC2,-3.28425357468929,4.78137473298603,18.5967194292343,1.61498226607257E-05,0.009416064381099,down
STOML3,-4.79568081011581,0.4071901231706,13.2313469307784,0.000275305904898,0.041512649579361,down
TAGLN3,-6.77415984672974,-1.26738005311861,17.6173610754067,2.70111219113126E-05,0.012218806992881,down
TOGARAM2,-2.63817763910386,1.95202459980632,14.0588071049581,0.000177182140353,0.033932319828018,down
TRPC4,-3.14293295516415,0.63114411403969,13.4467690493734,0.000245428486457,0.038791007223852,down
TSNAX.DISC1,-6.34647386600628,-1.93465965611003,13.7761760410066,0.000205931184017,0.036309931135831,down